"ENSGID"	"baseMean"	"log2FC"	"lfcSE"	"stat"	"p_value"	"FDR"	"gene"	"direction"
"ENSG00000000003"	1744.02507073886	0.0437106304622723	0.157739121361592	0.27710709990626	0.781697870289037	0.845164210297972	"TSPAN6"	NA
"ENSG00000000419"	1689.84522450718	1.43093854321339	0.189683543765948	7.54382016912884	4.56400396350007e-14	1.2475916265721e-12	"DPM1"	"Up"
"ENSG00000000457"	538.845761855179	0.705057997602198	0.16528988562932	4.2655846419022	1.99379406762239e-05	9.20361588485415e-05	"SCYL3"	NA
"ENSG00000000460"	652.906544918607	0.406940383829513	0.330070156251353	1.23289057226859	0.217616593308173	0.314860500946095	"C1orf112"	NA
"ENSG00000000938"	1.81557292326861	-4.15581286143963	2.24892600137821	-1.84791000632872	0.0646153627367797	0.113300347079801	"FGR"	"Down"
"ENSG00000000971"	21.2196743234499	-2.33101099643561	0.707559265679005	-3.29443922156637	0.000986182690105256	0.00291864608120672	"CFH"	"Down"
"ENSG00000001036"	2887.08651692882	0.39572511932253	0.141090991270889	2.80475114504479	0.00503554411249249	0.0122834256383423	"FUCA2"	NA
"ENSG00000001084"	3384.35719791466	0.268164499834909	0.180837240377002	1.4829052869633	0.138099576573083	0.215656523780706	"GCLC"	NA
"ENSG00000001167"	1622.52499619726	0.332178985674828	0.171063325974044	1.94184804827909	0.0521554982044752	0.0945929926099608	"NFYA"	NA
"ENSG00000001460"	539.113781291909	1.50188086722618	0.579436082992878	2.59196986744203	0.00954281294911033	0.0216057971930638	"STPG1"	"Up"
"ENSG00000001461"	840.663529142985	0.0550517461331823	0.199946363907471	0.275332569481777	0.783060744235422	0.846263449245708	"NIPAL3"	NA
"ENSG00000001497"	1313.33762235814	0.222109872189871	0.308460737702595	0.72005881151727	0.471488785925721	0.580064426253572	"LAS1L"	NA
"ENSG00000001561"	1210.71423316649	0.637544844960161	0.221503187539511	2.87826487754917	0.00399869235864417	0.0100419171765658	"ENPP4"	NA
"ENSG00000001617"	282.022729627768	-1.45367294787653	0.353412898342629	-4.11324248405674	3.90140203438962e-05	0.000168332807898324	"SEMA3F"	"Down"
"ENSG00000001626"	5.21080843913942	0.51750949166513	0.93023426482042	0.556321682866664	0.577990966980903	0.678831944198847	"CFTR"	NA
"ENSG00000001629"	2431.11648152579	0.468648073531332	0.187824970023215	2.49513189579323	0.0125910318671545	0.0275521403210676	"ANKIB1"	NA
"ENSG00000001630"	4055.11946808186	0.482143182983671	0.21916636264281	2.19989590176961	0.027814281557447	0.0551304699197287	"CYP51A1"	NA
"ENSG00000001631"	1054.08709543786	0.494239608696754	0.194859713193049	2.53638682207803	0.0112002939950285	0.024884371701237	"KRIT1"	NA
"ENSG00000002016"	474.231361855491	0.0492748185655267	0.275320159164869	0.178972795580942	0.85795906276137	0.901694845963184	"RAD52"	NA
"ENSG00000002330"	256.112194338843	-2.51346385083699	0.512150512229239	-4.90766638091726	9.21664587275649e-07	5.84997196493357e-06	"BAD"	"Down"
"ENSG00000002549"	2603.86306338882	-0.191108936314808	0.198673798252619	-0.96192320273561	0.336088182338246	0.446239988840166	"LAP3"	NA
"ENSG00000002586"	1092.75905996083	-1.1226149777649	0.134146343220446	-8.36858427009138	5.8314593209314e-17	2.57185391494273e-15	"CD99"	"Down"
"ENSG00000002587"	1017.28348110352	1.31883067990129	0.340514690635773	3.87305075572191	0.000107481432963525	0.000410999392373597	"HS3ST1"	"Up"
"ENSG00000002726"	2.4842451615271	1.24215903560818	1.29951827804898	0.955861149927866	0.339142389113916	0.449684287239515	"AOC1"	"Up"
"ENSG00000002745"	3065.42803525513	1.1437108867965	0.23449995058168	4.87723295446123	1.07584351940305e-06	6.72874060819627e-06	"WNT16"	"Up"
"ENSG00000002746"	210.520800130581	-0.622546004613461	0.282258561085458	-2.20558767896849	0.0274128825494027	0.0544250198613969	"HECW1"	NA
"ENSG00000002822"	345.426763843293	-1.26514227844749	0.310510705672654	-4.07439181752794	4.61347526214415e-05	0.000195089165346802	"MAD1L1"	"Down"
